Country,Year,Methane,CO2,Greenhouse,TotalEmi,HDI
Australia,2014,98076.1094,393126.947,522397.0907,1013600.147,0.93495825
Australia,2013,99857.20463,396913.9365,526882.6673,1023653.808,0.933389191
Australia,2012,100796.8387,406462.8477,537377.5715,1044637.258,0.932190241
Australia,2011,101085.5379,403705.5283,534089.7987,1038880.865,0.929656294
Australia,2010,99447.73016,406200.9932,533917.4363,1039566.16,0.927409978
Australia,2000,111520.3096,349885.4331,483445.8267,944851.5693,0.897513637
Australia,1990,118768.8378,278265.8989,418623.0496,815657.7863,0.865475509
Austria,2014,6623.265756,64262.56399,76332.61859,147218.4483,0.88502726
Austria,2013,6757.490404,67957.12111,80042.54184,154757.1534,0.884233628
Austria,2012,6855.141467,67698.65863,79897.1151,154450.9152,0.883921276
Austria,2011,6976.418553,70327.16704,82626.63802,159930.2236,0.881272513
Austria,2010,7182.81643,72531.82613,84946.01971,164660.6623,0.879002373
Austria,2000,8466.366071,66274.74325,80429.34339,155170.4527,0.836429537
Austria,1990,10598.56636,62297.16557,78844.62726,151740.3592,0.793513844
Belarus,2014,18599.17902,60615.64573,91895.64656,171110.4713,0.798366518
Belarus,2013,18724.35897,61510.98715,93037.24545,173272.5916,0.796089327
Belarus,2012,17461.76739,60636.85139,90925.11458,169023.7334,0.796129263
Belarus,2011,17499.47716,61128.40059,91671.72701,170299.6048,0.793184818
Belarus,2010,17109.26788,61632.4927,91183.54936,169925.3099,0.786163375
Belarus,2000,12922.69628,53686.85749,77959.72496,144569.2787,0.683212021
Belgium,2014,8047.552316,96325.41318,113866.619,218239.5845,0.890262992
Belgium,2013,8098.248992,101744.7367,119375.3015,229218.2872,0.888117471
Belgium,2012,8235.735485,100931.5956,118761.3382,227928.6693,0.888566814
Belgium,2011,8369.071322,104945.7138,122833.3955,236148.1806,0.886295363
Belgium,2010,8624.504882,114155.3867,133258.4057,256038.2973,0.88294829
Belgium,2000,10827.00456,126315.2099,149213.0172,286355.2318,0.873809564
Belgium,1990,12040.18105,119982.5034,146021.2368,278043.9212,0.806424492
Bulgaria,2014,7420.509699,45139.95529,#N/A,#N/A,0.781675314
Bulgaria,2013,7526.885751,42534.9272,#N/A,#N/A,0.779237808
Bulgaria,2012,7643.919411,48117.55608,#N/A,#N/A,0.778056289
Bulgaria,2011,8015.197676,53020.98112,#N/A,#N/A,0.775303307
Bulgaria,2010,7782.637957,47678.64896,#N/A,#N/A,0.77281269
Bulgaria,2000,10189.34006,44896.67055,#N/A,#N/A,0.713225271
Bulgaria,1990,16430.83757,78197.88126,#N/A,#N/A,0.694715678
Canada,2014,108436.7169,574099.7755,747171.8726,1429708.365,0.913178984
Canada,2013,107063.1294,573094.0388,737423.1353,1417580.303,0.912028642
Canada,2012,105633.6248,563423.6132,729475.8887,1398533.127,0.910430596
Canada,2011,103884.6701,558152.7229,722862.5069,1384899.9,0.908500336
Canada,2010,103730.441,555003.7603,718178.0802,1376912.282,0.903135969
Canada,2000,120724.8718,572290.3855,745991.031,1439006.288,0.867195597
Canada,1990,95378.25194,463493.3324,616908.1109,1175779.695,0.848629776
Croatia,2014,3080.40853,17607.32241,22898.87816,43586.6091,0.817539869
Croatia,2013,3129.725434,18359.49984,23770.55277,45259.77804,0.81714615
Croatia,2012,3167.148069,18776.38135,24734.64982,46678.17924,0.816563244
Croatia,2011,3230.315368,20614.44047,26773.82634,50618.58218,0.814139837
Croatia,2010,3243.512872,21183.70931,27280.22983,51707.45202,0.80727685
Croatia,2000,2785.338223,19789.12175,25172.96286,47747.42283,0.749052218
Croatia,1990,3770.717761,23390.07521,31204.63126,58365.42423,0.669827375
Cyprus,2014,923.9572982,6878.555309,8453.767413,16256.28002,0.849745435
Cyprus,2013,918.0362718,6449.610812,8020.09847,15387.74555,0.849723262
Cyprus,2012,937.2008153,7160.971876,8769.366026,16867.53872,0.851546053
Cyprus,2011,962.2115075,7696.667805,9296.16313,17955.04244,0.852420824
Cyprus,2010,943.4175711,8004.912021,9571.65722,18519.98681,0.848341119
Cyprus,2000,847.453418,7095.964385,8326.885734,16270.30354,0.799874544
Cyprus,1990,693.5666222,4621.007177,5624.649922,10939.22372,0.733354174
Czech Republic,2014,13491.73508,101159.1222,125033.1058,239683.9631,0.870090821
Czech Republic,2013,13435.25578,106477.0887,129786.7336,249699.0781,0.868057513
Czech Republic,2012,14086.09266,109841.3289,133778.9063,257706.3279,0.866594305
Czech Republic,2011,14017.03574,114113.1467,137948.6187,266078.8012,0.866084384
